Date,State,Confirmed,Active,Recovered,Deaths,Gender,Age
2020-03-19,Kerala,847,675,170,2,Female,59
2020-03-19,Karnataka,807,578,222,7,Male,51
2020-03-19,Maharashtra,2326,1984,314,28,Female,69
2020-03-19,Delhi,719,235,479,5,Male,55
2020-03-19,Gujarat,505,346,155,4,Female,20
2020-03-19,West Bengal,1259,320,938,1,Male,59
2020-03-19,Uttar Pradesh,2441,1524,908,9,Male,46
2020-03-19,Rajasthan,1225,454,768,3,Female,52
2020-03-19,Punjab,4300,3616,638,46,Male,65
2020-03-20,Tamil Nadu,2215,2096,108,11,Female,28
2020-03-20,Kerala,801,525,269,7,Male,29
2020-03-20,Karnataka,595,244,341,10,Male,48
2020-03-20,Maharashtra,503,4,491,8,Male,39
2020-03-20,Delhi,1514,131,1375,8,Female,21
2020-03-20,Gujarat,1509,1040,453,16,Male,18
2020-03-20,West Bengal,539,287,249,3,Female,42
2020-03-20,Uttar Pradesh,443,42,401,0,Male,21
2020-03-20,Rajasthan,4158,103,3978,77,Female,66
2020-03-20,Punjab,3253,2039,1182,32,Male,64
2020-03-21,Tamil Nadu,4027,343,3681,3,Male,51
2020-03-21,Kerala,4595,1546,3043,6,Female,59
2020-03-21,Karnataka,1775,1652,115,8,Male,26
2020-03-21,Maharashtra,178,174,4,0,Female,53
2020-03-21,Delhi,508,472,31,5,Female,20
2020-03-21,Gujarat,1540,311,1228,1,Female,23
2020-03-21,West Bengal,2018,301,1703,14,Male,23
2020-03-21,Uttar Pradesh,2288,790,1478,20,Female,63
2020-03-21,Rajasthan,4489,2798,1659,32,Male,34
2020-03-21,Punjab,4652,2329,2273,50,Male,42
2020-03-22,Tamil Nadu,4105,749,3345,11,Female,50
2020-03-22,Kerala,241,219,21,1,Male,19
2020-03-22,Karnataka,3863,2652,1146,65,Male,26
2020-03-22,Maharashtra,4370,1401,2882,87,Female,65
2020-03-22,Delhi,477,434,36,7,Male,69
2020-03-22,Gujarat,540,93,439,8,Male,25
2020-03-22,West Bengal,2480,1809,648,23,Male,43
2020-03-22,Uttar Pradesh,89,46,42,1,Female,43
2020-03-22,Rajasthan,2638,1715,909,14,Male,48
2020-03-22,Punjab,2549,1109,1403,37,Female,46
2020-03-23,Tamil Nadu,4871,1882,2920,69,Male,18
2020-03-23,Kerala,3544,2009,1493,42,Male,60
2020-03-23,Karnataka,990,424,557,9,Female,31
2020-03-23,Maharashtra,3800,1326,2421,53,Female,38
2020-03-23,Delhi,2111,1996,102,13,Female,19
2020-03-23,Gujarat,893,322,564,7,Male,38
2020-03-23,West Bengal,1119,610,496,13,Male,22
2020-03-23,Uttar Pradesh,3061,325,2689,47,Female,32
2020-03-23,Rajasthan,1760,562,1186,12,Female,56
2020-03-23,Punjab,777,391,379,7,Female,50
2020-03-24,Tamil Nadu,643,259,373,11,Male,42
2020-03-24,Kerala,4899,283,4581,35,Male,21
2020-03-24,Karnataka,474,425,49,0,Male,52
2020-03-24,Maharashtra,163,143,20,0,Female,67
2020-03-24,Delhi,835,649,170,16,Female,40
2020-03-24,Gujarat,1060,661,396,3,Female,65
2020-03-24,West Bengal,737,234,499,4,Female,30
2020-03-24,Uttar Pradesh,3177,3132,23,22,Male,35
2020-03-24,Rajasthan,4519,3908,581,30,Male,64
2020-03-24,Punjab,1827,1720,103,4,Female,45
2020-03-25,Tamil Nadu,3949,2957,975,17,Female,66
2020-03-25,Kerala,573,392,171,10,Female,24
2020-03-25,Karnataka,189,92,94,3,Female,66
2020-03-25,Maharashtra,1285,882,388,15,Male,66
2020-03-25,Delhi,384,351,33,0,Male,41
2020-03-25,Gujarat,4358,3785,528,45,Female,53
2020-03-25,West Bengal,1546,1314,221,11,Male,39
2020-03-25,Uttar Pradesh,4705,1578,3091,36,Female,30
2020-03-25,Rajasthan,1519,1417,92,10,Male,67
2020-03-25,Punjab,1050,257,780,13,Male,44
2020-03-26,Tamil Nadu,1277,87,1179,11,Male,67
2020-03-26,Kerala,3406,1358,2021,27,Female,63
2020-03-26,Karnataka,3799,3039,694,66,Female,50
2020-03-26,Maharashtra,4295,211,4001,83,Female,47
2020-03-26,Delhi,2025,1943,81,1,Male,43
2020-03-26,Gujarat,2243,1795,443,5,Female,68
2020-03-26,West Bengal,1046,183,861,2,Male,68
2020-03-26,Uttar Pradesh,1909,847,1053,9,Male,61
2020-03-26,Rajasthan,450,339,108,3,Male,33
2020-03-26,Punjab,1916,1343,538,35,Male,52
2020-03-27,Tamil Nadu,4897,4142,706,49,Female,21
2020-03-27,Kerala,4241,940,3244,57,Female,25
2020-03-27,Karnataka,3053,207,2787,59,Female,68
2020-03-27,Maharashtra,3857,2381,1421,55,Female,22
2020-03-27,Delhi,4630,2725,1892,13,Male,32
2020-03-27,Gujarat,3657,2606,979,72,Male,52
2020-03-27,West Bengal,3530,2771,748,11,Male,19
2020-03-27,Uttar Pradesh,3358,609,2687,62,Female,56
2020-03-27,Rajasthan,2594,2014,548,32,Female,45
2020-03-27,Punjab,258,-3,256,5,Male,21
2020-03-28,Tamil Nadu,3667,1235,2412,20,Male,21
2020-03-28,Kerala,909,728,175,6,Male,32
2020-03-28,Karnataka,1601,457,1117,27,Female,51
2020-03-28,Maharashtra,4474,673,3754,47,Male,19
2020-03-28,Delhi,3656,1848,1739,69,Female,54
2020-03-28,Gujarat,3223,403,2789,31,Female,33
2020-03-28,West Bengal,4758,4228,457,73,Male,39
2020-03-28,Uttar Pradesh,3060,2171,876,13,Male,66
2020-03-28,Rajasthan,2943,853,2067,23,Female,28
2020-03-28,Punjab,290,213,76,1,Female,31
2020-03-29,Tamil Nadu,4157,2749,1371,37,Male,26
2020-03-29,Kerala,667,566,97,4,Female,18
2020-03-29,Karnataka,2908,1258,1607,43,Female,36
2020-03-29,Maharashtra,3430,504,2926,0,Male,54
2020-03-29,Delhi,4664,39,4620,5,Male,36
2020-03-29,Gujarat,585,409,171,5,Male,58
2020-03-29,West Bengal,130,24,104,2,Male,64
2020-03-29,Uttar Pradesh,4370,2224,2129,17,Male,36
2020-03-29,Rajasthan,4361,2497,1802,62,Male,48
2020-03-29,Punjab,387,81,301,5,Male,29
2020-03-30,Tamil Nadu,2554,91,2440,23,Female,45
2020-03-30,Kerala,3727,228,3446,53,Male,46
2020-03-30,Karnataka,4025,506,3483,36,Female,32
2020-03-30,Maharashtra,4496,2189,2289,18,Female,65
2020-03-30,Delhi,4078,3821,211,46,Female,27
2020-03-30,Gujarat,3026,771,2232,23,Female,30
2020-03-30,West Bengal,1123,695,417,11,Male,51
2020-03-30,Uttar Pradesh,28,26,2,0,Male,64
2020-03-30,Rajasthan,3859,1827,1989,43,Male,42
2020-03-30,Punjab,4479,1629,2791,59,Male,59
2020-03-31,Tamil Nadu,1775,888,877,10,Female,48
2020-03-31,Kerala,4978,3798,1091,89,Female,32
2020-03-31,Karnataka,96,82,14,0,Male,56
2020-03-31,Maharashtra,688,458,225,5,Male,34
2020-03-31,Delhi,3004,465,2504,35,Male,47
2020-03-31,Gujarat,2784,216,2561,7,Male,55
2020-03-31,West Bengal,1865,1041,808,16,Female,50
2020-03-31,Uttar Pradesh,806,776,15,15,Male,56
2020-03-31,Rajasthan,4377,3137,1219,21,Male,45
2020-03-31,Punjab,1198,1046,130,22,Female,33
2020-04-01,Tamil Nadu,1901,1131,761,9,Female,39
2020-04-01,Kerala,864,522,329,13,Female,26
2020-04-01,Karnataka,4020,616,3366,38,Female,48
2020-04-01,Maharashtra,4212,988,3162,62,Female,28
2020-04-01,Delhi,3477,1455,2004,18,Male,35
2020-04-01,Gujarat,2600,429,2120,51,Male,36
2020-04-01,West Bengal,1821,1206,582,33,Male,62
2020-04-01,Uttar Pradesh,3992,2392,1565,35,Male,22
2020-04-01,Rajasthan,1228,700,520,8,Female,58
2020-04-01,Punjab,3726,3226,434,66,Female,22
2020-04-02,Tamil Nadu,2483,1490,964,29,Female,27
2020-04-02,Kerala,408,297,110,1,Male,29
2020-04-02,Karnataka,57,29,27,1,Female,36
2020-04-02,Maharashtra,4355,2647,1665,43,Male,45
2020-04-02,Delhi,4489,3388,1021,80,Female,34
2020-04-02,Gujarat,418,314,100,4,Male,23
2020-04-02,West Bengal,1642,1348,283,11,Female,61
2020-04-02,Uttar Pradesh,4078,830,3235,13,Male,19
2020-04-02,Rajasthan,1029,583,430,16,Male,61
2020-04-02,Punjab,4848,589,4229,30,Male,32
2020-04-03,Tamil Nadu,4728,1009,3628,91,Male,37
2020-04-03,Kerala,2928,2714,186,28,Male,67
2020-04-03,Karnataka,3121,202,2881,38,Female,31
2020-04-03,Maharashtra,984,98,878,8,Male,22
2020-04-03,Delhi,4642,4221,337,84,Female,18
2020-04-03,Gujarat,2104,567,1537,0,Male,23
2020-04-03,West Bengal,2435,2096,330,9,Male,65
2020-04-03,Uttar Pradesh,1341,698,639,4,Female,32
2020-04-03,Rajasthan,1179,325,853,1,Male,55
2020-04-03,Punjab,1956,1503,452,1,Male,46
2020-04-04,Tamil Nadu,189,55,134,0,Female,32
2020-04-04,Kerala,3962,2458,1429,75,Male,29
2020-04-04,Karnataka,542,374,158,10,Male,31
2020-04-04,Maharashtra,3304,955,2293,56,Male,28
2020-04-04,Delhi,1180,142,1016,22,Male,55
2020-04-04,Gujarat,2936,553,2376,7,Female,34
2020-04-04,West Bengal,3359,515,2791,53,Female,50
2020-04-04,Uttar Pradesh,360,357,0,3,Male,68
2020-04-04,Rajasthan,1902,1321,551,30,Male,21
2020-04-04,Punjab,1349,867,466,16,Female,34
2020-04-05,Tamil Nadu,370,328,39,3,Female,33
2020-04-05,Kerala,3750,3625,119,6,Female,50
2020-04-05,Karnataka,2127,874,1230,23,Male,40
2020-04-05,Maharashtra,250,190,60,0,Male,67
2020-04-05,Delhi,1133,836,287,10,Female,37
2020-04-05,Gujarat,3948,22,3922,4,Female,30
2020-04-05,West Bengal,4422,1746,2620,56,Male,39
2020-04-05,Uttar Pradesh,4648,3210,1379,59,Female,48
2020-04-05,Rajasthan,3516,806,2642,68,Female,64
2020-04-05,Punjab,3461,1982,1413,66,Female,58
2020-04-06,Tamil Nadu,574,286,285,3,Female,61
2020-04-06,Kerala,4836,1290,3540,6,Female,35
2020-04-06,Karnataka,1800,1654,143,3,Female,65
2020-04-06,Maharashtra,457,153,304,0,Female,44
2020-04-06,Delhi,1915,1779,118,18,Female,64
2020-04-06,Gujarat,1155,904,240,11,Female,45
2020-04-06,West Bengal,2969,262,2691,16,Female,43
2020-04-06,Uttar Pradesh,3359,470,2870,19,Male,39
2020-04-06,Rajasthan,306,89,212,5,Female,34
2020-04-06,Punjab,36,9,27,0,Female,18
2020-04-07,Tamil Nadu,3130,1503,1615,12,Male,41
2020-04-07,Kerala,4548,2466,2030,52,Female,42
2020-04-07,Karnataka,3529,2186,1304,39,Female,19
2020-04-07,Maharashtra,883,573,298,12,Female,49
2020-04-07,Delhi,4131,3089,996,46,Male,45
2020-04-07,Gujarat,2018,525,1471,22,Female,68
2020-04-07,West Bengal,850,504,334,12,Male,48
2020-04-07,Uttar Pradesh,2513,912,1553,48,Female,43
2020-04-07,Rajasthan,2863,2721,126,16,Male,70
2020-04-07,Punjab,484,126,357,1,Female,36
2020-04-08,Tamil Nadu,4232,1090,3140,2,Male,43
2020-04-08,Kerala,2727,2672,42,13,Female,63
2020-04-08,Karnataka,429,344,78,7,Female,45
2020-04-08,Maharashtra,94,22,72,0,Male,47
2020-04-08,Delhi,764,422,328,14,Male,26
2020-04-08,Gujarat,3810,1109,2664,37,Female,58
2020-04-08,West Bengal,935,505,414,16,Female,70
2020-04-08,Uttar Pradesh,4396,2139,2183,74,Female,23
2020-04-08,Rajasthan,4881,3132,1706,43,Female,59
2020-04-08,Punjab,434,362,70,2,Female,67
2020-04-09,Tamil Nadu,24,6,18,0,Male,57
2020-04-09,Kerala,4178,1904,2268,6,Female,62
2020-04-09,Karnataka,4211,3314,841,56,Female,47
2020-04-09,Maharashtra,4344,1746,2547,51,Female,61
2020-04-09,Delhi,1625,1206,419,0,Male,51
2020-04-09,Gujarat,1187,512,671,4,Female,49
2020-04-09,West Bengal,613,500,101,12,Male,41
2020-04-09,Uttar Pradesh,892,424,459,9,Male,19
2020-04-09,Rajasthan,3749,2763,946,40,Male,29
2020-04-09,Punjab,2997,2705,276,16,Female,47
2020-04-10,Tamil Nadu,1047,525,518,4,Male,50
2020-04-10,Kerala,3055,2519,531,5,Male,70
2020-04-10,Karnataka,1859,953,906,0,Male,33
2020-04-10,Maharashtra,2655,1440,1179,36,Male,26
2020-04-10,Delhi,2011,1198,803,10,Female,30
2020-04-10,Gujarat,1540,927,608,5,Female,58
2020-04-10,West Bengal,4913,2497,2325,91,Female,49
2020-04-10,Uttar Pradesh,2402,1805,570,27,Male,27
2020-04-10,Rajasthan,973,395,566,12,Male,59
2020-04-10,Punjab,3514,3426,38,50,Male,39
2020-04-11,Tamil Nadu,319,200,117,2,Female,19
2020-04-11,Kerala,989,911,67,11,Male,63
2020-04-11,Karnataka,3036,566,2435,35,Male,47
2020-04-11,Maharashtra,1437,1120,303,14,Female,50
2020-04-11,Delhi,4805,2246,2543,16,Male,45
2020-04-11,Gujarat,4743,1080,3598,65,Female,36
2020-04-11,West Bengal,1802,1160,610,32,Male,51
2020-04-11,Uttar Pradesh,4826,1051,3726,49,Male,21
2020-04-11,Rajasthan,3434,996,2383,55,Male,43
2020-04-11,Punjab,2529,1816,665,48,Male,70
2020-04-12,Tamil Nadu,3422,1748,1621,53,Female,42
2020-04-12,Kerala,3041,2549,474,18,Male,32
2020-04-12,Karnataka,1080,416,655,9,Male,50
2020-04-12,Maharashtra,4517,3504,988,25,Female,24
2020-04-12,Delhi,2549,1518,1010,21,Female,68
2020-04-12,Gujarat,887,723,148,16,Female,40
2020-04-12,West Bengal,617,201,410,6,Male,58
2020-04-12,Uttar Pradesh,4118,440,3642,36,Male,44
2020-04-12,Rajasthan,4104,280,3769,55,Female,57
2020-04-12,Punjab,4771,3295,1415,61,Male,38
2020-04-13,Tamil Nadu,1806,104,1680,22,Female,31
2020-04-13,Kerala,3514,2252,1202,60,Male,23
2020-04-13,Karnataka,3805,3488,252,65,Female,28
2020-04-13,Maharashtra,4354,1476,2865,13,Female,30
2020-04-13,Delhi,869,140,719,10,Female,26
2020-04-13,Gujarat,3816,3301,496,19,Female,52
2020-04-13,West Bengal,4483,3934,468,81,Female,18
2020-04-13,Uttar Pradesh,3930,2436,1472,22,Male,31
2020-04-13,Rajasthan,635,140,489,6,Male,49
2020-04-13,Punjab,1184,957,225,2,Female,28
2020-04-14,Tamil Nadu,1517,488,1022,7,Male,36
2020-04-14,Kerala,3508,1918,1538,52,Male,24
2020-04-14,Karnataka,4701,256,4381,64,Male,37
2020-04-14,Maharashtra,480,230,246,4,Female,18
2020-04-14,Delhi,4195,4090,68,37,Male,18
2020-04-14,Gujarat,1902,927,946,29,Male,46
2020-04-14,West Bengal,3604,2418,1149,37,Female,37
2020-04-14,Uttar Pradesh,874,576,294,4,Female,60
2020-04-14,Rajasthan,4548,999,3524,25,Female,26
2020-04-14,Punjab,947,768,177,2,Male,38
2020-04-15,Tamil Nadu,4005,1589,2375,41,Female,53
2020-04-15,Kerala,71,11,60,0,Female,22
2020-04-15,Karnataka,289,31,257,1,Male,64
2020-04-15,Maharashtra,358,6,347,5,Female,40
2020-04-15,Delhi,2703,174,2496,33,Male,49
2020-04-15,Gujarat,4398,2776,1556,66,Female,63
2020-04-15,West Bengal,612,116,495,1,Female,23
2020-04-15,Uttar Pradesh,4513,3282,1191,40,Male,60
2020-04-15,Rajasthan,230,189,40,1,Female,31
2020-04-15,Punjab,193,137,54,2,Male,41
2020-04-16,Tamil Nadu,3827,3523,252,52,Female,18
2020-04-16,Kerala,944,874,70,0,Male,32
2020-04-16,Karnataka,3946,1522,2365,59,Female,42
2020-04-16,Maharashtra,3237,3179,49,9,Male,30
2020-04-16,Delhi,415,67,343,5,Male,39
2020-04-16,Gujarat,2582,900,1673,9,Female,50
2020-04-16,West Bengal,2867,2326,532,9,Male,35
2020-04-16,Uttar Pradesh,3621,1991,1628,2,Male,64
2020-04-16,Rajasthan,49,36,13,0,Male,35
2020-04-16,Punjab,213,136,74,3,Female,31
2020-04-17,Tamil Nadu,3336,1620,1663,53,Female,68
2020-04-17,Kerala,1806,103,1680,23,Female,50
2020-04-17,Karnataka,2558,1727,798,33,Female,69
2020-04-17,Maharashtra,1655,445,1204,6,Female,61
2020-04-17,Delhi,3990,463,3481,46,Male,67
2020-04-17,Gujarat,1298,157,1130,11,Male,41
2020-04-17,West Bengal,4411,43,4342,26,Male,38
2020-04-17,Uttar Pradesh,4956,3874,1027,55,Male,54
2020-04-17,Rajasthan,4191,3853,286,52,Male,31
2020-04-17,Punjab,2656,1231,1379,46,Female,51
2020-04-18,Tamil Nadu,4130,2560,1489,81,Male,52
2020-04-18,Kerala,4300,3612,650,38,Female,70
2020-04-18,Karnataka,2329,277,2049,3,Female,32
2020-04-18,Maharashtra,2213,553,1638,22,Male,44
2020-04-18,Delhi,1057,463,578,16,Male,43
2020-04-18,Gujarat,1869,67,1795,7,Male,60
2020-04-18,West Bengal,1247,695,549,3,Male,29
2020-04-18,Uttar Pradesh,4929,362,4507,60,Male,40
2020-04-18,Rajasthan,1621,1315,292,14,Male,49
2020-04-18,Punjab,1235,539,692,4,Female,38
2020-04-19,Tamil Nadu,4621,3596,1002,23,Female,33
2020-04-19,Kerala,1795,41,1750,4,Female,30
2020-04-19,Karnataka,4624,1477,3083,64,Female,69
2020-04-19,Maharashtra,1038,719,315,4,Male,25
2020-04-19,Delhi,4959,1466,3443,50,Female,33
2020-04-19,Gujarat,2865,2074,790,1,Female,29
2020-04-19,West Bengal,1467,572,877,18,Male,66
2020-04-19,Uttar Pradesh,4189,3041,1093,55,Male,22
2020-04-19,Rajasthan,1234,1012,217,5,Male,27
2020-04-19,Punjab,4023,2335,1655,33,Female,41
2020-04-20,Tamil Nadu,2816,2321,445,50,Female,60
2020-04-20,Kerala,987,858,120,9,Male,66
2020-04-20,Karnataka,1087,89,998,0,Male,70
2020-04-20,Maharashtra,1001,261,721,19,Male,40
2020-04-20,Delhi,2731,1476,1234,21,Female,44
2020-04-20,Gujarat,3876,263,3602,11,Male,57
2020-04-20,West Bengal,2036,1555,463,18,Male,63
2020-04-20,Uttar Pradesh,4996,58,4862,76,Female,56
2020-04-20,Rajasthan,1349,1246,98,5,Male,20
2020-04-20,Punjab,2614,202,2404,8,Male,34
2020-04-21,Tamil Nadu,1270,349,917,4,Female,23
2020-04-21,Kerala,286,167,117,2,Female,25
2020-04-21,Karnataka,2500,1772,712,16,Male,58
2020-04-21,Maharashtra,4334,2667,1649,18,Female,27
2020-04-21,Delhi,1613,470,1119,24,Male,46
2020-04-21,Gujarat,2565,2102,440,23,Female,43
2020-04-21,West Bengal,4390,2674,1690,26,Female,67
2020-04-21,Uttar Pradesh,1879,1867,10,2,Female,19
2020-04-21,Rajasthan,2761,2598,132,31,Male,55
2020-04-21,Punjab,4669,2467,2196,6,Female,32
2020-04-22,Tamil Nadu,3364,2418,884,62,Female,19
2020-04-22,Kerala,4210,349,3790,71,Male,18
2020-04-22,Karnataka,4085,344,3691,50,Female,39
2020-04-22,Maharashtra,3517,1879,1580,58,Female,45
2020-04-22,Delhi,379,104,272,3,Female,27
2020-04-22,Gujarat,4239,4162,20,57,Female,61
2020-04-22,West Bengal,869,708,159,2,Male,54
2020-04-22,Uttar Pradesh,3781,936,2817,28,Male,26
2020-04-22,Rajasthan,4269,174,4014,81,Female,61
2020-04-22,Punjab,2402,952,1440,10,Male,33
2020-04-23,Tamil Nadu,1802,1400,371,31,Female,28
2020-04-23,Kerala,2067,1890,176,1,Male,68
2020-04-23,Karnataka,1595,507,1075,13,Male,37
2020-04-23,Maharashtra,579,343,233,3,Female,34
2020-04-23,Delhi,4860,1010,3766,84,Male,36
2020-04-23,Gujarat,2753,2210,514,29,Male,48
2020-04-23,West Bengal,3570,3388,180,2,Female,39
2020-04-23,Uttar Pradesh,302,124,172,6,Male,25
2020-04-23,Rajasthan,3874,2331,1512,31,Female,53
2020-04-23,Punjab,2285,46,2230,9,Male,38
2020-04-24,Tamil Nadu,2008,1358,640,10,Male,35
2020-04-24,Kerala,272,156,113,3,Male,36
2020-04-24,Karnataka,3674,111,3526,37,Male,22
2020-04-24,Maharashtra,2403,1389,972,42,Female,52
2020-04-24,Delhi,496,399,95,2,Female,25
2020-04-24,Gujarat,3242,2461,770,11,Female,64
2020-04-24,West Bengal,2492,602,1889,1,Male,57
2020-04-24,Uttar Pradesh,3712,1916,1769,27,Female,34
2020-04-24,Rajasthan,3599,2947,597,55,Male,42
2020-04-24,Punjab,3813,3332,422,59,Female,18
2020-04-25,Tamil Nadu,3992,798,3175,19,Male,53
2020-04-25,Kerala,4607,2475,2077,55,Female,54
2020-04-25,Karnataka,4667,1080,3535,52,Female,41
2020-04-25,Maharashtra,4686,955,3684,47,Female,42
2020-04-25,Delhi,2186,999,1181,6,Female,34
2020-04-25,Gujarat,4498,1350,3129,19,Female,64
2020-04-25,West Bengal,3956,1252,2677,27,Male,33
2020-04-25,Uttar Pradesh,3491,3114,332,45,Female,57
2020-04-25,Rajasthan,696,187,505,4,Female,67
2020-04-25,Punjab,1965,211,1719,35,Female,54
2020-04-26,Tamil Nadu,982,247,735,0,Female,54
2020-04-26,Kerala,4327,4077,193,57,Female,46
2020-04-26,Karnataka,2154,1595,535,24,Female,20
2020-04-26,Maharashtra,530,31,489,10,Female,22
2020-04-26,Delhi,3648,1433,2183,32,Male,33
2020-04-26,Gujarat,2201,265,1912,24,Male,65
2020-04-26,West Bengal,2613,768,1804,41,Male,36
2020-04-26,Uttar Pradesh,2633,1133,1494,6,Female,43
2020-04-26,Rajasthan,4892,1858,2961,73,Male,37
2020-04-26,Punjab,3562,3192,337,33,Male,27
2020-04-27,Tamil Nadu,2872,2809,42,21,Female,29
2020-04-27,Kerala,3322,362,2951,9,Male,35
2020-04-27,Karnataka,2914,2313,583,18,Female,41
2020-04-27,Maharashtra,1382,239,1130,13,Female,19
2020-04-27,Delhi,1089,41,1038,10,Female,69
2020-04-27,Gujarat,480,86,390,4,Male,25
2020-04-27,West Bengal,4174,1914,2258,2,Female,26
2020-04-27,Uttar Pradesh,2490,754,1715,21,Female,60
2020-04-27,Rajasthan,3091,1376,1674,41,Male,38
2020-04-27,Punjab,474,326,147,1,Male,56
2020-04-28,Tamil Nadu,4257,2156,2060,41,Female,68
2020-04-28,Kerala,2203,1271,932,0,Female,52
2020-04-28,Karnataka,3750,135,3577,38,Male,42
2020-04-28,Maharashtra,3029,906,2120,3,Female,39
2020-04-28,Delhi,1514,831,668,15,Male,18
2020-04-28,Gujarat,2689,1480,1204,5,Female,31
2020-04-28,West Bengal,3552,51,3487,14,Female,25
2020-04-28,Uttar Pradesh,1454,724,725,5,Male,62
2020-04-28,Rajasthan,638,204,430,4,Male,47
2020-04-28,Punjab,2260,1764,483,13,Male,40
2020-04-29,Tamil Nadu,2030,1350,673,7,Male,28
2020-04-29,Kerala,843,658,173,12,Male,35
2020-04-29,Karnataka,4866,1933,2840,93,Male,44
2020-04-29,Maharashtra,3007,2700,289,18,Female,47
2020-04-29,Delhi,2057,505,1552,0,Female,63
2020-04-29,Gujarat,2197,1401,753,43,Female,28
2020-04-29,West Bengal,2978,818,2158,2,Female,35
2020-04-29,Uttar Pradesh,4849,2928,1889,32,Female,33
2020-04-29,Rajasthan,706,202,502,2,Female,47
2020-04-29,Punjab,3472,3052,406,14,Female,34
2020-04-30,Tamil Nadu,4502,1604,2856,42,Male,26
2020-04-30,Kerala,4416,426,3940,50,Male,51
2020-04-30,Karnataka,2015,616,1362,37,Female,57
2020-04-30,Maharashtra,3219,3142,48,29,Male,24
2020-04-30,Delhi,3313,1049,2213,51,Female,69
2020-04-30,Gujarat,2497,1694,759,44,Female,68
2020-04-30,West Bengal,981,904,77,0,Male,65
2020-04-30,Uttar Pradesh,438,426,9,3,Female,26
2020-04-30,Rajasthan,1804,1383,395,26,Female,57
2020-04-30,Punjab,1119,704,404,11,Male,36
2020-05-01,Tamil Nadu,4709,4275,348,86,Female,48
2020-05-01,Kerala,4798,1984,2742,72,Male,32
2020-05-01,Karnataka,2093,590,1463,40,Male,24
2020-05-01,Maharashtra,3895,1718,2120,57,Female,34
2020-05-01,Delhi,2447,1597,838,12,Male,30
2020-05-01,Gujarat,236,187,48,1,Male,66
2020-05-01,West Bengal,2021,1541,478,2,Female,56
2020-05-01,Uttar Pradesh,3794,605,3156,33,Female,62
2020-05-01,Rajasthan,499,111,383,5,Female,37
2020-05-01,Punjab,3866,1652,2172,42,Female,66
2020-05-02,Tamil Nadu,2326,2067,249,10,Female,38
2020-05-02,Kerala,414,327,83,4,Male,28
2020-05-02,Karnataka,250,9,236,5,Male,28
2020-05-02,Maharashtra,2751,1057,1641,53,Female,53
2020-05-02,Delhi,885,-9,879,15,Female,40
2020-05-02,Gujarat,3570,1166,2375,29,Female,63
2020-05-02,West Bengal,3639,3497,124,18,Male,70
2020-05-02,Uttar Pradesh,4778,2712,2001,65,Male,44
2020-05-02,Rajasthan,1141,346,773,22,Female,43
2020-05-02,Punjab,2232,588,1625,19,Female,44
2020-05-03,Tamil Nadu,2363,878,1438,47,Male,31
2020-05-03,Kerala,2945,448,2475,22,Female,36
